#nfr ene gross_mass volume density
# eV amu A3 g/cm3
41 -131191.4367004952 7927.080000000041 34770.90517779541 0.37857012800660683
42 -131187.6987815401 7927.080000000041 34770.90517779541 0.37857012800660683
43 -131188.97556688212 7927.080000000041 34770.90517779541 0.37857012800660683
44 -131190.5457725763 7927.080000000041 34770.90517779541 0.37857012800660683
45 -131188.97956695556 7927.080000000041 34770.90517779541 0.37857012800660683
46 -131189.9460880988 7927.080000000041 34770.90517779541 0.37857012800660683
47 -131190.16113966546 7927.080000000041 34770.90517779541 0.37857012800660683
48 -131189.19951657127 7927.080000000041 34770.90517779541 0.37857012800660683
49 -131190.79706970623 7927.080000000041 34770.90517779541 0.37857012800660683
50 -131190.74849738603 7927.080000000041 34770.90517779541 0.37857012800660683
51 -131190.3405715306 7927.080000000041 34770.90517779541 0.37857012800660683
52 -131190.51635707036 7927.080000000041 34770.90517779541 0.37857012800660683
53 -131190.35006830358 7927.080000000041 34770.90517779541 0.37857012800660683
54 -131190.56280690257 7927.080000000041 34770.90517779541 0.37857012800660683
55 -131188.90927995104 7927.080000000041 34770.90517779541 0.37857012800660683
56 -131188.64979219457 7927.080000000041 34770.90517779541 0.37857012800660683
57 -131186.36264816986 7927.080000000041 34770.90517779541 0.37857012800660683
58 -131189.24615688322 7927.080000000041 34770.90517779541 0.37857012800660683
59 -131187.23632407142 7927.080000000041 34770.90517779541 0.37857012800660683
60 -157594.98602932182 8935.920000000016 34770.90517779541 0.4267488631698919
61 -157595.05422104977 8935.920000000016 34770.90517779541 0.4267488631698919
62 -157593.99659619332 8935.920000000016 34770.90517779541 0.4267488631698919
63 -157593.32847508544 8935.920000000016 34770.90517779541 0.4267488631698919
64 -157593.80720496166 8935.920000000016 34770.90517779541 0.4267488631698919
65 -157595.1119908177 8935.920000000016 34770.90517779541 0.4267488631698919
66 -157595.67608280506 8935.920000000016 34770.90517779541 0.4267488631698919
67 -157594.6513837231 8935.920000000016 34770.90517779541 0.4267488631698919
68 -157593.36550977887 8935.920000000016 34770.90517779541 0.4267488631698919
69 -157594.27858776425 8935.920000000016 34770.90517779541 0.4267488631698919
70 -157595.24045576088 8935.920000000016 34770.90517779541 0.4267488631698919
71 -157596.98737218181 8935.920000000016 34770.90517779541 0.4267488631698919
72 -157594.91457222778 8935.920000000016 34770.90517779541 0.4267488631698919
73 -157594.82493792934 8935.920000000016 34770.90517779541 0.4267488631698919
74 -157595.20706739288 8935.920000000016 34770.90517779541 0.4267488631698919
75 -157594.29154038295 8935.920000000016 34770.90517779541 0.4267488631698919
76 -157596.2709236562 8935.920000000016 34770.90517779541 0.4267488631698919
77 -157596.70464590355 8935.920000000016 34770.90517779541 0.4267488631698919
78 -157597.12669446718 8935.920000000016 34770.90517779541 0.4267488631698919
79 -157595.8515145968 8935.920000000016 34770.90517779541 0.4267488631698919
80 -157578.17295878852 8935.920000000016 34770.90517779541 0.4267488631698919
81 -157582.54316145898 8935.920000000016 34770.90517779541 0.4267488631698919
82 -157581.5538915988 8935.920000000016 34770.90517779541 0.4267488631698919
83 -157579.38321229702 8935.920000000016 34770.90517779541 0.4267488631698919
84 -157580.89660062172 8935.920000000016 34770.90517779541 0.4267488631698919
85 -157577.87287164736 8935.920000000016 34770.90517779541 0.4267488631698919
86 -157582.25681606663 8935.920000000016 34770.90517779541 0.4267488631698919
87 -157580.59403724456 8935.920000000016 34770.90517779541 0.4267488631698919
88 -157579.02679759127 8935.920000000016 34770.90517779541 0.4267488631698919
89 -157579.3448170344 8935.920000000016 34770.90517779541 0.4267488631698919
